"frame","x [nm]","y [nm]","intensity [photon]"
2063,23654.17412,17119.25193,295912.15549
2063,25870.88665,8308.59718,35316.35174
2063,27467.66507,8155.26156,15781.7158
2063,32414.08191,16559.76116,74019.65748
2063,44320.50288,13415.36605,17710.56446
2063,51832.07734,4801.86031,25965.14249
2063,53510.0856,9779.7637,12770.56567
2063,56699.25019,9145.24604,117678.3515
2063,59143.69171,15296.69955,81719.90424
2064,1863.39229,20926.95779,32256.03798
2064,2649.36686,12759.71605,23576.43184
2064,3277.08772,3499.83372,55882.89177
2064,4472.95812,16822.02486,6308.13455
2064,4888.14815,7070.66827,26961.08747
2064,11014.98211,7680.21583,25221.49066
2064,14353.88707,15261.52249,12237.46553
2064,15728.5707,22420.48716,20275.89199
2064,19535.53651,12528.54826,39458.9136
2064,21291.20972,1583.62836,40063.29801
2064,21865.47489,6002.92213,60368.22962
2064,23257.98949,5617.40869,35797.59507
2064,23841.20762,17650.28794,9097.49479
2064,26065.82928,8245.06194,14381.67831
2064,32485.07456,17171.26182,68829.60933
2064,34853.43565,19624.17638,3757.95846
2064,36675.14222,11086.98774,7648.58671
2064,37463.58368,5515.66362,5201.64544
2064,52250.47354,4744.37467,46687.30866
2064,52955.43118,9456.8377,22581.58996
2064,54614.99056,2025.2048,188474.42519
2064,56956.89508,9438.98534,58676.14277
